nombre,vigencia,materia,supervisor,contacto,foto,dependencia_id
CAMILO PEÑALOZA GARFIAS,2013-2015,Coordinación de Gobierno y Regulación del Comercio,N/A,N/A,Camilo Peñaloza Garfias.jpg,Coordinación de Gobierno y Regulación del Comercio
CRUZ HERNÁNDEZ ARANDA,2013-2014,Coordinación de Gobierno y Regulación del Comercio,N/A,N/A,Cruz Hernandez Aranda.jpg,Coordinación de Gobierno y Regulación del Comercio
ANIBAL LÓPEZ PASAFLORES,2013-2013,Coordinación de Gobierno y Regulación del Comercio,N/A,N/A,Anibal Lopez Pasa Flores.jpg,Coordinación de Gobierno y Regulación del Comercio
CECILIO BARTOLOMÉ LÓPEZ ELIAS,2013-2012,Coordinación de Gobierno y Regulación del Comercio,N/A,N/A,C. Bartolome Lopez Elias.jpg,Coordinación de Gobierno y Regulación del Comercio
GUILLERMO CORTÉS VALLEJO,2013-2011,Coordinación de Gobierno y Regulación del Comercio,N/A,N/A,GUILLERMO CORTÉS VALLEJO.jpg,Coordinación de Gobierno y Regulación del Comercio
RAYMUNDO DÍAZ LARA,2013-2010,Coordinación de Gobierno y Regulación del Comercio,N/A,N/A,Raymundo Diaz Lara.jpg,Coordinación de Gobierno y Regulación del Comercio
MARIO ALBERTO REYES SEGURA,2013-2009,Coordinación de Gobierno y Regulación del Comercio,N/A,N/A,Mario Alberto Reyes Segura.jpg,Coordinación de Gobierno y Regulación del Comercio
TOMÁS MEDINA VARGAS,2013-2008,Coordinación de Gobierno y Regulación del Comercio,N/A,N/A,Tomas Medina Vargas.jpg,Coordinación de Gobierno y Regulación del Comercio
